Id,Title,Language,Year,Search Category,Display Type,Freely Available,Is Pay Per View,Subscription Tiers Permitted
652171badd7bf20c8b045fd9,Siskiyaan - Season 2 - Tamil,Tamil,2022,series,MEDIA,False,False,"['gold', 'silver']"
652171d356ead00c76c849df,Siskiyaan - Season 2 - Telugu,Telugu,2022,series,MEDIA,False,False,"['gold', 'silver']"
630c92fda5cbb00bdc50792b,Zaroorat - Season 2,Hindi,2022,series,MEDIA,False,False,"['gold', 'silver']"
637ba561428ee80be1d80b7c,Zaroorat - Season 2 - Tamil,Tamil,2022,series,MEDIA,False,False,"['gold', 'silver']"
637ba9b66daa370bc69062ea,Zaroorat - Season 2 - Telugu,Telugu,2022,series,MEDIA,False,False,"['gold', 'silver']"
6317565f21286c0bf884b41e,Matki,Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
631759d7248a110bba5cc29a,Matki - Tamil,Tamil,2022,movie,MEDIA,False,False,"['gold', 'silver']"
6317630421286c0bf884d9e7,Matki - Telugu,Telugu,2022,movie,MEDIA,False,False,"['gold', 'silver']"
63284ddd67c3240bdc8af5fc,Khoon Bhari Maang,Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
632856e47dc59d0bd7909474,Khoon Bhari Maang - Tamil,Tamil,2022,movie,MEDIA,False,False,"['gold', 'silver']"
63285fd78beff70be9eaa94f,Khoon Bhari Maang - Telugu,Telugu,2022,movie,MEDIA,False,False,"['gold', 'silver']"
6315bb1bc5ac400bc1c8362e,Sursuri-Li,Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
62f4ee0ee993990bbbadedc1,Chawl House - 3,Hindi,2022,series,MEDIA,False,False,"['gold', 'silver']"
62f4f68416c3a90badecd61a,Chawl House - 3 - Tamil,Tamil,2022,series,MEDIA,False,False,"['gold', 'silver']"
62f4fec10ef5590be6cf7167,Chawl House - 3 - Telugu,Telugu,2022,series,MEDIA,False,False,"['gold', 'silver']"
62ebcbb4ed59dd0c10e8b7a3,Siskiyaan,Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
62ebd403ed59dd0c10e8d0ae,Siskiyaan - Tamil,Tamil,2022,movie,MEDIA,False,False,"['gold', 'silver']"
62ebdaa5be4b900bd9911a99,Siskiyaan - Telugu,Telugu,2022,movie,MEDIA,False,False,"['gold', 'silver']"
64f2e4dc898c4b0bd8c02b1b,Tawa Garam,Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
64f323a9687a660bcdea643e,Tawa Garam - Tamil,Tamil,2022,movie,MEDIA,False,False,"['gold', 'silver']"
64f323b97f675b0bd0aa11d1,Tawa Garam - Telugu,Telugu,2022,movie,MEDIA,False,False,"['gold', 'silver']"
62e277f3b15b480bd668c369,Titliyaan - Part 2,Hindi,2022,series,MEDIA,False,False,"['gold', 'silver']"
62e279e8c3cb3f0bebcc7c3a,Titliyaan - Part 2 -Tamil,Tamil,2022,series,MEDIA,False,False,"['gold', 'silver']"
62e27bb9b15b480bd668d02d,Titliyaan - Part 2 -Telugu,Telugu,2022,series,MEDIA,False,False,"['gold', 'silver']"
6310753a0b90400bd3c38ea7,Tauba Tauba,Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
62d9787bbc7c900be423b08b,Titliyaan - Part 1,Hindi,2022,series,MEDIA,False,False,"['gold', 'silver']"
62d99efd5143ac0bda160647,Titliyaan - Part 1 -Tamil,Tamil,2022,series,MEDIA,False,False,"['gold', 'silver']"
62d9a394976d6c0bd133bb01,Titliyaan - Part 1 -Telugu,Telugu,2022,series,MEDIA,False,False,"['gold', 'silver']"
6491c95fe027480d29434654,Tauba Tauba - Tamil,Tamil,2022,movie,MEDIA,False,False,"['gold', 'silver']"
